id_gas_pipeline;gas_pipeline
1;Медвежье-Надым2
2;Надым-Пунга2
3;Медвежье-Надым1
4;Надым-Пунга-Н.ТураIII
5;Ямбург-Елец1
6;Ямбург-Елец2
7;Пунга-Вуктыл-Ухта1
8;Уренгой-Центр2
9;Уренгой-Ужгород
10;СРТО-Торжок
11;Уренгой-Центр1
12;Пунга-Ухта-Грязовец 3
13;Игрим-Серов
14;Уренгой-Петровск
15;Надым-Пунга1
16;Ямбург-Поволжье
17;Ямбург-Тула2
18;Надым-Пунга V (Уренгой-Грязовец)
19;Пунга-Вуктыл-Ухта2
20;Уренгой-Новопсков
21;Надым-Пунга-IV
22;Ямбург-Западная граница СССР (Прогресс)
23;Ямбург-Тула1
24;Уренгой-Надым1
25;Уренгой-Надым2 (Уренгой-Грязовец)
26;СРТО-Урал
27;Ямбург-Поволжье, СРТО-Урал
28;Игрим-Серов-Нижний Тагил, СРТО-Урал2
